CONS_ID|CSQ|CNO|MNO|MCD|MFG|XCHG|ADV|DE|LCC|FDT
7000008142|1|7011102100|3421536|421|L+G|N|N|N|N|08/07/2004
4600037947|1|4623215300|2977898|401|VLG|N|N|N|N|01/01/2001
5100104877|1|5110100866|7174364|599|SECURE|N|N|N|N|16/08/2021
5100104881|1|5110306146|7179334|599|SECURE|N|N|N|N|02/09/2021
5100105365|1|5109312400|7304370|599|SECURE|N|N|N|N|03/08/2023
5100101939|1|5111304412|7148401|599|SECURE|N|N|Y|N|25/02/2021
5100103631|1|5111304013|6412047|574|L&T|N|N|N|N|01/06/2021
4600079234|1|4658611600|7021279|599|SECURE|N|Y|N|N|12/04/2017
5500004068|1|5501606600|3102533|405|ISKRA|N|N|Y|N|18/07/2002
4600078096|1|4656803400|2895979|800|SCHLMBGR|N|N|N|N|20/05/2000
1200040576|1|1220007100|5934144|571|GENUS|N|N|N|N|24/03/2017
9600000237|2|9618064502|2855985|401|VLG|N|N|N|N|20/11/1999
4600150640|1|4654418003|4854556|566|GENUS|N|N|N|N|06/09/2014
6600014851|1|6607002801|2382052|802|VLG|N|N|N|N|31/07/1997
2000021392|1|2005016820|4966270|598|SECURE|N|N|N|N|21/01/2014
4600153872|1|4657605426|5096500|569|SECURE|Y|N|Y|N|19/12/2014
3600002806|1|3601011901|2947566|404|SCHLMBGR|N|N|Y|N|21/07/2001
3600002806|1|3601011901|2947566|404|SCHLMBGR|N|N|Y|N|21/07/2001
200111573|1|0226908722|4590970|581|GENUS|N|Y|N|N|09/02/2012
2900068696|1|2911312491|4923416|590|L+G|N|Y|N|N|08/11/2013
5900020803|1|5910113500|3898088|582|GENUS|N|Y|N|N|14/07/2012
4600154599|1|4659808201|5105381|569|SECURE|N|N|N|N|19/01/2015
6000011671|1|6010602300|2891860|800|SCHLMBGR|N|N|N|N|10/05/2000
2900047036|1|2920602800|4817356|581|GENUS|N|Y|N|N|13/11/2013
300000086|1|0304542600|2401331|804|ABB(UK)|N|N|N|N|18/03/1999
5700066728|1|5700114406|7097183|599|SECURE|N|N|Y|N|21/08/2018
5700081134|1|5700514821|6721599|150|GENUS|N|N|N|N|05/07/2024
7500059188|1|7513400601|6505543|576|GENUS|N|N|N|N|17/05/2022
5700074186|1|5702211705|6521309|150|GENUS|N|N|N|N|26/09/2022
600017482|1|0601013601|6018810|551|SECURE|||||28/06/2017
3700030726|1|3703822500|4288893|585|SECURE|N|N|Y|N|30/08/2010
5700078205|1|5700500201|6529151|150|GENUS|N|N|Y|N|24/06/2023
5700081302|1|5702406110|4402476|585|SECURE|N|N|N|N|16/03/2011
6500026940|1|6500108708|6383455|551|SECURE|N|N|N|N|17/09/2019
5700064315|1|5707107002|4279470|585|SECURE|N|N|N|N|17/08/2010
1500032808|1|1503416102|6665517|576|GENUS|N|N|N|N|04/07/2023
1500032812|1|1504419501|6643069|577|L&T|N|N|N|N|05/07/2023
600017563|1|0600402903|5187222|564|GENUS|Y|N|N|N|08/01/2015
3700030883|1|3704504209|6652409|577|L&T|N|N|N|N|22/08/2023
5700074662|1|5701701002|6520059|150|GENUS|N|N|N|N|07/09/2022
5700078677|1|5706805305|7295869|599|SECURE|N|N|Y|N|04/07/2023
1500033085|1|1503606300|2665806|802|VLG|N|N|N|N|05/01/1999
6400072079|1|6408603300|5715567|569|SECURE|N|N|N|N|27/09/2016
4900012859|1|4906103300|3069479|402|ABB(UK)|N|N|Y|N|17/01/2001
4900012947|1|4906109800|4056567|581|GENUS|N|N|N|N|09/03/2009
200045694|1|0223212400|6538525|576|GENUS|N|N|N|N|17/08/2022
4900014263|1|4906902300|2939667|404|SCHLMBGR|N|N|N|N|07/05/2001
200041155|1|0220109500|5513413|571|GENUS|N|N|N|N|02/04/2016
200046106|1|0223409400|5221209|571|GENUS|N|N|N|N|02/07/2015
2700000839|1|2700900401|3672708|407|SCHLMBGR|N|N|Y|N|27/11/2006
200048136|1|0224814000|2684318|802|VLG|Y|N|N|N|21/01/1999
200048230|1|0224907600|6093354|574|L&T|N|N|N|N|29/03/2018
200045864|1|0223306600|2961155|401|VLG|N|N|N|N|22/09/2000
5000000646|1|5000710800|2981137|401|VLG|N|N|N|N|10/02/2001
6500006979|1|6503907900|3869230|582|GENUS|N|N|N|N|02/07/2011
2000014069|1|2002216300|2543880|802|VLG|N|N|N|N|18/04/1998
2000011853|1|2004823000|6813171|576|GENUS|N|N|N|N|10/06/2024
2000014881|1|2003845400|5679357|571|GENUS|N|N|Y|N|24/09/2016
2000014946|1|2004624500|5196796|569|SECURE|Y|N|Y|N|16/04/2015
7600035068|1|7611507401|5579548|564|GENUS|N|N|N|N|07/09/2016
2000015976|1|2005017404|3632835|423|ALSTOM|N|Y|N|N|18/09/2006
2000015976|1|2005017404|3632835|423|ALSTOM|N|N|N|N|18/09/2006
2000015407|1|2000317401|4707447|550|SECURE|N|N|N|N|17/10/2012
7600035272|1|7612468600|3543014|421|L+G|N|N|N|N|12/07/2005
6500005203|1|6502802400|6828486|577|L&T|N|N|N|N|08/06/2024
4800043584|1|4823416400|6728530|576|GENUS|N|N|N|N|16/12/2023
4600018511|1|4614721700|2646005|802|VLG|N|N|N|N|13/11/1998
4800042369|1|4822802200|3619797|423|ALSTOM|N|N|N|N|04/03/2006
6100003211|1|6102010800|5905897|568|L+G|N|N|N|N|24/01/2017
4600019336|1|4611010500|5138831|571|GENUS|N|Y|Y|N|05/11/2014
200099963|1|0226608116|4230465|585|SECURE|N|N|N|N|30/04/2010
200099963|1|0226608116|4230465|585|SECURE|N|N|N|N|30/04/2010
4800045590|1|4820711500|3205261|401|VLG|N|N|Y|N|14/07/2003
4800045637|1|4820717600|1914217|802|VLG|N|N|Y|N|02/08/1994
4800043146|1|4823233500|5747823|569|SECURE|N|N|N|N|12/11/2016
200097572|1|0222804900|4114888|586|SECURE|N|Y|N|N|02/12/2009
200097572|1|0222804900|4114888|586|SECURE|N|N|Y|N|02/12/2009
4800044527|1|4823921000|6469303|576|GENUS|N|N|Y|N|02/03/2022
4800044527|1|4823921000|6469303|576|GENUS|N|N|Y|N|02/03/2022
200098502|1|0220710700|4226623|595|GENUS|N|N|Y|N|11/02/2010
6300047512|1|6327304500|6248033|576|GENUS|N|N|Y|N|17/01/2020
6800009371|1|6814505303|4033662|581|GENUS|N|N|N|N|17/10/2008
6800018908|1|6807903303|4669547|585|SECURE|N|N|Y|N|22/08/2012
6800018952|1|6811306301|4669548|585|SECURE|N|N|N|N|22/08/2012
