CONS_ID|CSQ|CNO|MNO|MCD|MFG|XCHG|ADV|DE|LCC|FDT
200081742|1|0235301426|3669483|407|SCHLMBGR|N|N|Y|N|13/11/2006
2700034458|1|2706105307|6131002|571|GENUS|N|N|Y|N|14/07/2018
5700014993|2|5709201600|6385067|551|SECURE|N|N|N|N|22/01/2020
4600093057|1|4654809200|3474012|604|SIEMENS|N|N|N|N|04/12/2004
6400038575|1|6409201506|3659670|407|SCHLMBGR|N|N|N|N|28/08/2006
5700039518|1|5704308506|3648397|407|SCHLMBGR|N|N|N|N|01/06/2006
5700039524|1|5704308512|3648311|407|SCHLMBGR|N|N|N|N|01/06/2006
5700041421|1|5704308532|3758227|580|GENUS|N|N|N|N|01/03/2007
5700042956|1|5705301207|3954749|582|GENUS|N|N|N|Y|21/05/2011
5700039750|1|5704308525|4700882|598|SECURE|N|N|N|N|24/01/2013
5700039759|1|5704703101|3640194|550|SECURE|N|N|N|N|06/07/2006
1800001803|1|1801017100|4988757|566|GENUS|N|N|N|N|12/03/2014
5700040826|1|5704308006|3744312|421|L+G|N|N|N|N|05/12/2006
5700042442|1|5700712807|4818464|581|GENUS|N|N|N|N|03/12/2013
5700042465|1|5701507701|6524389|150|GENUS|N|N|N|N|05/01/2023
2400007239|1|2403314100|2988361|401|VLG|N|N|N|N|17/03/2001
6100016254|1|6109712100|5090604|569|SECURE|N|N|Y|N|29/11/2014
2400005192|2|2400707500|6809961|578|L&T|N|N|N|N|29/05/2024
6700013555|1|6708506900|2641683|802|VLG|N|N|N|N|14/11/1998
6100016620|1|6109907700|5090602|569|SECURE|N|N|N|N|27/11/2014
6000001497|1|6006013500|3018174|401|VLG|N|N|N|N|31/08/2001
5700007425|1|5704004500|5823469|569|SECURE|N|N|N|N|27/12/2016
4800016458|1|4810603700|5285674|571|GENUS|N|N|N|N|28/03/2016
6000000994|1|6004419400|4564965|550|SECURE|N|N|Y|N|27/12/2011
