CONS_ID|CSQ|CNO|MNO|MCD|MFG|XCHG|ADV|DE|LCC|FDT|JOB_ID
3700023603|1|3702906801|7289197|599|SECURE|N|N|Y|N|13/06/2023|20250300185
900127224|1|0918404664|6290267|576|GENUS|N|Y|N|N|28/12/2019|20250300186
6200067352|1|6203205554|4920839|590|L+G|N|Y|N|N|19/12/2013|20250300187
900108892|1|0927110600|5096846|569|SECURE|N|N|N|N|16/12/2014|20250300189
6700005679|1|6703603700|6896264|576|GENUS|N|N|N|N|28/10/2024|20250300190
5900052125|1|5911014001|5758722|569|SECURE|N|N|N|N|12/12/2016|20250300191
2500052755|1|2509319007|6319795|573|L+G|N|N|N|N|28/10/2020|20250300193
4100015603|1|4103614801|6806148|577|L&T|N|N|Y|N|27/04/2024|20250300208
4100017218|1|4100109801|5286699|569|SECURE|N|N|N|N|17/06/2015|20250300209
4100019973|1|4103913701|2752936|401|VLG|N|N|N|N|26/02/2008|20250300210
5000138571|1|5008311702|6333147|576|GENUS|N|N|Y|N|29/01/2021|20250300211
5000150162|1|5003009601|5116089|569|SECURE|Y|N|Y|N|14/03/2015|20250300212
5000190736|1|5006816914|6424249|576|GENUS|N|N|Y|N|10/09/2021|20250300213
4100001735|1|4100710300|3461979|421|L+G|N|N|N|N|01/02/2005|20250300214
900002342|1|0900923700|5330585|569|SECURE|N|N|Y|N|15/01/2016|20250300215
900076625|1|0902721902|4277628|585|SECURE|Y|N|N|N|29/07/2010|20250300216
900088262|1|0907707507|7241195|599|SECURE|N|N|N|N|01/09/2022|20250300217
900138410|1|0901803106|7223421|599|SECURE|Y|N|N|N|01/06/2022|20250300218
5000002852|1|5001610700|2622610|802|VLG|N|N|Y|N|17/10/1998|20250300219
200007269|1|0202905400|2230733|802|VLG|N|N|N|N|26/07/2000|20250300220
200007270|1|0202905500|3063852|402|ABB(UK)|N|N|Y|N|06/12/2000|20250300221
200012412|1|0205000600|2794438|402|ABB(UK)|Y|N|N|N|17/11/2007|20250300222
200012531|2|0205012700|2446111|884|ABB(UK)|N|N|N|N|10/05/1999|20250300223
200012573|1|0205016900|3150078|407|SCHLMBGR|N|N|N|N|30/12/2003|20250300224
200024209|1|0209908800|5494030|569|SECURE|N|N|Y|N|10/03/2016|20250300225
200082517|1|0201716503|3584307|550|SECURE|Y|N|Y|N|18/07/2011|20250300226
200084267|1|0201910001|4561343|550|SECURE|N|N|N|N|12/08/2011|20250300227
200116508|1|0205020000|2403709|804|ABB(UK)|N|N|N|N|25/11/1998|20250300228
200118837|1|0201110000|7207341|599|SECURE|N|N|N|N|02/02/2022|20250300229
200123711|1|0205003000|2798631|402|ABB(UK)|N|N|N|N|09/08/2000|20250300230
200180632|1|0208803000|5305865|569|SECURE|N|N|N|N|20/08/2015|20250300231
200185846|1|0200117502|6147971|562|L&T|N|N|N|N|31/05/2018|20250300232
200193701|1|0205005400|6218684|573|L+G|N|N|N|N|07/05/2019|20250300233
200205118|1|0205020200|2097441|802|VLG|N|N|N|N|09/08/2000|20250300234
200222581|1|0201906600|6480117|574|L&T|N|N|N|N|18/01/2022|20250300235
200223279|1|0205010002|3772998|550|SECURE|N|N|Y|N|05/05/2007|20250300236
4100009744|1|4103614400|7295400|599|SECURE|N|N|Y|N|28/06/2023|20250300238
2200004164|1|2200105700|2407776|804|ABB(UK)|N|N|N|N|18/04/2009|20250300239
2200004534|1|2200420355|6536944|576|GENUS|N|N|Y|N|24/06/2022|20250300240
2200005062|1|2200420400|2972533|401|VLG|N|N|N|N|27/11/2000|20250300241
2200005637|1|2200420350|6269201|574|L&T|N|N|N|N|29/06/2019|20250300242
2300004217|1|2301917000|4620162|585|SECURE|N|N|Y|N|20/04/2012|20250300243
2300006620|2|2301916800|5347692|569|SECURE|N|N|Y|N|01/03/2016|20250300244
3700001931|1|3700733300|5822740|569|SECURE|N|N|Y|N|29/12/2020|20250300245
3700003184|1|3701112700|4283208|585|SECURE|Y|N|N|N|27/08/2010|20250300246
3700013919|1|3705223700|5427563|569|SECURE|N|N|N|N|21/05/2016|20250300247
3700018034|1|3701136500|3442517|421|L+G|N|N|Y|N|12/10/2004|20250300248
3700019521|1|3701149500|6358845|574|L&T|N|N|N|N|21/11/2020|20250300249
3700024854|1|3701030712|5099197|569|SECURE|N|N|Y|N|14/01/2015|20250300250
3700028547|1|3700732726|6349122|574|L&T|N|N|N|N|17/03/2020|20250300251
3100000120|1|3100110700|2367801|802|VLG|N|N|N|N|05/08/1997|20250300252
3100019657|1|3106603800|6946493|577|L&T|N|N|Y|N|03/01/2025|20250300253
3100031907|1|3106617202|4294585|585|SECURE|N|N|Y|N|13/08/2012|20250300254
3100041505|1|3102317505|6951686|577|L&T|N|N|N|N|18/01/2025|20250300255
3100042548|1|3100111900|3166075|401|VLG|Y|N|Y|N|16/09/2002|20250300256
4500006361|1|4501911200|3056736|402|ABB(UK)|N|N|N|N|09/12/2000|20250300258
4500022686|1|4508536500|7099546|599|SECURE|N|N|N|N|17/08/2018|20250300259
4500036410|1|4503310303|4979848|598|SECURE|Y|N|N|N|04/04/2014|20250300260
4500036451|1|4507213101|4981634|598|SECURE|Y|N|Y|N|10/04/2014|20250300261
4500044846|1|4501143208|7135223|599|SECURE|N|N|Y|N|26/09/2020|20250300262
3900012060|1|3904113300|6542735|573|L+G|N|N|N|N|26/07/2022|20250300264
3900012663|1|3904315100|5714638|569|SECURE|N|N|Y|N|27/09/2016|20250300265
3900013587|1|3904627000|2999080|401|VLG|N|N|Y|N|30/05/2001|20250300266
3900013590|1|3904627700|2999106|401|VLG|N|N|Y|N|30/05/2001|20250300267
3900013593|1|3904627800|2999102|401|VLG|N|N|Y|N|30/05/2001|20250300268
3900036952|1|3904628300|4659301|585|SECURE|N|N|Y|N|06/07/2012|20250300269
